id,text,card_name,card_family,doc_type,scheme_name,reward_type,valid_period,issuer,source
國泰cube卡_rule_玩數位_idx0,國泰CUBE卡「玩數位」exclusion：include 包含：App Store；Apple Music；iCloud 等 Apple 媒體服務。exclude 包含：Apple Store 實體門市交易。,國泰CUBE卡,國泰CUBE卡,benefit_rule,玩數位,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_玩數位_idx1,國泰CUBE卡「玩數位」exclusion：exclude 包含：黃金、白銀等貴金屬；珠寶；遊戲點數；各類實體或電子票券（如百貨禮券、餐飲券、電影票券、住宿券、提貨券）；遊戲點數旗艦店；票券專區/票券館內品項。,國泰CUBE卡,國泰CUBE卡,benefit_rule,玩數位,points,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_玩數位_idx2,國泰CUBE卡「玩數位」restriction：include 包含：PChome 24h購物網站；PChome 24h購物 APP；PChome 24h書店。exclude 包含：PChome 商店街；PChomePay 支付連；海外代購；旅遊商品；儲值商品整筆訂單；電子票券整筆訂單。,國泰CUBE卡,國泰CUBE卡,benefit_rule,玩數位,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_樂饗購_idx3,國泰CUBE卡「樂饗購」restriction：include 包含：交易地點為臺灣之餐飲消費；透過聯合信用卡中心小額支付平台收費之餐廳。exclude 包含：購買餐券；飯店/旅館/酒店之餐飲；百貨/商場美食街餐廳。,國泰CUBE卡,國泰CUBE卡,benefit_rule,樂饗購,points,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx4,國泰CUBE卡「集精選」exclusion：exclude 包含：會員換購；菸酒商品；代收代售項目；藥局藥品；嬰幼兒奶粉及配方食品；團購商品；商品提貨券；儲值禮物卡；家樂福錢包儲值金及使用儲值金消費；虛擬儲值（電話預付卡、線上遊戲點數卡、KKBOX 等）；安裝與運費；垃圾袋與環保相關指定品項；預購及大宗採購；美食街與商店街消費。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,points,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx5,國泰CUBE卡「集精選」exclusion：include 包含：全聯福利中心實體門市；PX Pay 綁CUBE卡交易。exclude 包含：菸品；代收代售；一歲以下嬰兒奶粉；印花活動商品；積分活動商品；點數換購商品；禮券購買(含PX Pay App線上購買樂透卡/禮卡)；高速公路服務區門市；醫院美食街門市；企業辦公大樓門市；全支付綁卡交易。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,points,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx6,國泰CUBE卡「集精選」restriction：include 包含：中油直營加油站刷CUBE卡。exclude 包含：網路交易；電子票證交易；錢包儲值；中油Pay；街口支付；LINE Pay；台灣Pay；悠遊付；Pi拍錢包；橘子支付；支付寶；加氣站；非加油站場域之加油消費。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx7,國泰CUBE卡「集精選」exclusion：include 包含：7-ELEVEN實體門市；OPEN錢包店內支付；行動隨時取。exclude 包含：菸品；隨取卡；代收代售；高速公路服務區門市；醫院美食街門市；企業辦公大樓門市；icash Pay 綁卡付款；其他第三方/電子支付綁卡(如全盈支付、全支付等)。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx8,國泰CUBE卡「集精選」exclusion：include 包含：全家便利商店實體門市；My FamiPay 店內支付。exclude 包含：菸品；代收代售；儲值消費；全+1商城以My FamiPay支付；全家行動購；好享券支付；Fami錢包APP儲值；高速公路服務區門市；醫院美食街門市；企業辦公大樓門市；icash Pay / 全盈支付 / 全支付 等第三方支付綁卡。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_集精選_idx9,國泰CUBE卡「集精選」restriction：include 包含：IKEA實體門市刷CUBE卡；IKEA實體門市以CUBE卡加入行動支付付款。exclude 包含：未以CUBE卡或以CUBE卡綁定指定支付工具付款。,國泰CUBE卡,國泰CUBE卡,benefit_rule,集精選,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx10,國泰CUBE卡「趣旅行」restriction：include 包含：國外餐飲；國外飯店到店付款。exclude 包含：儲值型交易；醫療事業(就醫、醫學美容等)；博奕類交易(賭博、賭場、賭博籌碼等)；飛機/郵輪上之消費；未經主管機關核准之境外投資交易平台(如 eToro)；其他經本行公告排除之項目(含保費等)。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,points,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx11,國泰CUBE卡「趣旅行」restriction：include 包含：東京迪士尼樂園園內消費與門票；東京華納兄弟哈利波特影城園內消費與門票；大阪環球影城(USJ)園內消費與門票。exclude 包含：遊樂園外之市區街邊店；遊樂園附設飯店；透過旅行社/線上旅遊平台購買門票。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx12,國泰CUBE卡「趣旅行」restriction：include 包含：Apple錢包交通卡(SUICA/PASMO/ICOCA)儲值；台灣高鐵網站/APP/臨櫃/自動售票機購票；Uber 搭乘；Grab 搭乘；yoxi 叫車；台灣大車隊App短程叫車；iRent 租車；和運租車；格上租車。exclude 包含：高鐵補票；列車上推車消費；台灣大車隊機場接送；台灣大車隊代駕服務；Grab 訂閱費。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx13,國泰CUBE卡「趣旅行」restriction：include 包含：中華航空；長榮航空；星宇航空；台灣虎航；國泰航空；樂桃航空；阿聯酋航空；酷航；捷星航空；日本航空；ANA全日空；亞洲航空；聯合航空；新加坡航空；越捷航空；大韓航空；達美航空；土耳其航空；卡達航空；法國航空。exclude 包含：旅行社購票；線上旅遊平台購票；機上免稅商品；機場商店；貴賓室消費；哩程購買/轉讓；機票以外附加費(升等/行李/稅/其他)。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,miles,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx14,國泰CUBE卡「趣旅行」restriction：include 包含：國內飯店住宿(含民宿/青年旅館/連鎖飯店等符合MCC之訂房)；星野集團官網/臨櫃訂房；全球迪士尼飯店官網/臨櫃訂房；東橫INN 官網/臨櫃訂房。exclude 包含：樂園套票；俱樂部；租期30天以上長租公寓；飯店/酒店/旅館附設餐廳；飯店美食街；代訂服務；飯店內精品商店；旅行社預訂飯店；機加酒/套裝行程。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx15,國泰CUBE卡「趣旅行」restriction：include 包含：KKday；Agoda；Klook；Airbnb；Booking.com；Trip.com。exclude 包含：Booking.com 租車；Booking.com 景點/活動；Booking.com 計程車。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,points,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_趣旅行_idx16,國泰CUBE卡「趣旅行」restriction：include 包含：ezTravel易遊網直營；雄獅旅遊直營；可樂旅遊直營；東南旅遊直營；五福旅遊直營；燦星旅遊直營；山富旅遊直營；長汎假期直營；鳳凰旅行社直營；Ezfly易飛網直營；理想旅遊直營；永利旅行社直營；三賀旅行社直營。exclude 包含：加盟店(如雄獅集團-旅天下各加盟店等)。,國泰CUBE卡,國泰CUBE卡,benefit_rule,,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_idx17,國泰CUBE卡exclusion：exclude 包含：信用卡年費、違約金、循環利息及其他費用；預借現金及預借現金手續費；各級政府稅款(如所得稅、牌照稅、房屋稅等)；各類公用事業費用(水費、電費、瓦斯費等)；學雜費、考試報名費、各類罰鍰；部分保險費(保費代扣、部分壽險及產險保費等)；電子票證加值(如悠遊卡、一卡通、icash等)；高速公路eTag儲值及相關代收費用；第三方支付或電子支付錢包之儲值(如支付工具錢包儲值)；其他由本行公告不列入回饋之交易。,國泰CUBE卡,國泰CUBE卡,benefit_rule,趣旅行,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_玩數位_idx18,國泰CUBE卡「玩數位」exclusion：include 包含：小樹購實體商品。exclude 包含：電子票券整筆訂單；含電子票券之混合訂單。,國泰CUBE卡,國泰CUBE卡,benefit_rule,玩數位,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_樂饗購_idx19,國泰CUBE卡「樂饗購」exclusion：include 包含：Uber Eats 外送訂餐。exclude 包含：Uber One 訂閱方案。,國泰CUBE卡,國泰CUBE卡,benefit_rule,樂饗購,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_樂饗購_idx20,國泰CUBE卡「樂饗購」exclusion：include 包含：誠品生活實體門市。exclude 包含：誠品線上購物。,國泰CUBE卡,國泰CUBE卡,benefit_rule,樂饗購,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_樂饗購_idx21,國泰CUBE卡「樂饗購」exclusion：include 包含：康是美實體門市；康是美eShop。exclude 包含：黃金商品；儲值商品；各類票券；百貨/商場內之康是美門市。,國泰CUBE卡,國泰CUBE卡,benefit_rule,樂饗購,other,,國泰世華銀行,cube_benefits.md
國泰cube卡_rule_樂饗購_idx22,國泰CUBE卡「樂饗購」exclusion：include 包含：屈臣氏實體門市；屈臣氏線上商店；屈臣氏APP消費。exclude 包含：黃金商品；儲值商品；各類票券；百貨內的屈臣氏門市；購物中心/商場內之屈臣氏門市。,國泰CUBE卡,國泰CUBE卡,benefit_rule,樂饗購,other,,國泰世華銀行,cube_benefits.md
國泰蝦皮購物聯名卡_rule_shopee_benefit_1_idx0,國泰蝦皮購物聯名卡（方案ID：shopee_benefit_1）回饋分級：詳細回饋與門檻依複雜分級規則計算。,國泰蝦皮購物聯名卡,國泰蝦皮購物聯名卡,benefit_rule,,other,,國泰世華銀行,國泰蝦皮聯名卡.md
國泰蝦皮購物聯名卡_rule_shopee_benefit_1_idx1,國泰蝦皮購物聯名卡（方案ID：shopee_benefit_1）排除項目：exclude 包含：LINE Pay；街口支付；Shopee Ads；海外消費、跨境交易；非聯名卡付款之蝦皮交易；利息、年費、手續費；預借現金、分期、通信貸款、餘額代償；稅款、公務機關費用、學費、公用事業費；超商消費（7-11、全家）；全聯；小額支付（麥當勞、停車）；icash/eTag 儲值；未核准境外投資平台（eToro）；SOGO 貴賓廳；2025/5/1 起：博奕相關交易。,國泰蝦皮購物聯名卡,國泰蝦皮購物聯名卡,benefit_rule,,other,,國泰世華銀行,國泰蝦皮聯名卡.md
國泰蝦皮購物聯名卡_rule_shopee_benefit_2_idx2,"國泰蝦皮購物聯名卡（方案ID：shopee_benefit_2）免運券條件：include 包含：當月一般消費滿 NT$5,000；當月一般消費累積 5 筆。exclude 包含：利息、年費、手續費；預借現金、分期；代繳、保費、通信貸款、基金代扣；公用事業、稅款、公務機關；小額支付、路邊停車、便利商店；國壽相關繳費；2025/5/1 起：博奕交易。",國泰蝦皮購物聯名卡,國泰蝦皮購物聯名卡,benefit_rule,,mixed,,國泰世華銀行,國泰蝦皮聯名卡.md
國泰蝦皮購物聯名卡_rule_shopee_benefit_3_idx3,國泰蝦皮購物聯名卡（方案ID：shopee_benefit_3）海外免手續費：include 包含：海外一般消費免手續費；計入站外一般回饋 0.5%。exclude 包含：退稅後退款不列入消費金額。,國泰蝦皮購物聯名卡,國泰蝦皮購物聯名卡,benefit_rule,,other,,國泰世華銀行,國泰蝦皮聯名卡.md
國泰蝦皮購物聯名卡_rule_shopee_benefit_4_idx4,國泰蝦皮購物聯名卡（方案ID：shopee_benefit_4）12/12 折扣規則：詳細回饋與門檻依複雜分級規則計算。,國泰蝦皮購物聯名卡,國泰蝦皮購物聯名卡,benefit_rule,,mixed,,國泰世華銀行,國泰蝦皮聯名卡.md
國泰世華世界卡_rule_worldcard_dining_top_idx0,國泰世華世界卡（方案ID：worldcard_dining_top）通用使用規則：,國泰世華世界卡,國泰世華世界卡,benefit_rule,,points,,國泰世華銀行,國泰世界卡.md
國泰世華世界卡_rule_worldcard_dining_top_idx1,國泰世華世界卡（方案ID：worldcard_dining_top）餐廳列表 - 2 人 5 折：此規則適用於多家指定餐廳。,國泰世華世界卡,國泰世華世界卡,benefit_rule,,points,,國泰世華銀行,國泰世界卡.md
國泰世華世界卡_rule_worldcard_dining_top_idx2,國泰世華世界卡（方案ID：worldcard_dining_top）餐廳列表 - 75 折：此規則適用於多家指定餐廳。,國泰世華世界卡,國泰世華世界卡,benefit_rule,,points,,國泰世華銀行,國泰世界卡.md
國泰世華世界卡_rule_worldcard_airport_transfer_idx3,國泰世華世界卡（方案ID：worldcard_airport_transfer）機場接送資格與次數：,國泰世華世界卡,國泰世華世界卡,benefit_rule,,other,,國泰世華銀行,國泰世界卡.md
國泰世華世界卡_rule_worldcard_le_orano_idx4,"國泰世華世界卡（方案ID：worldcard_le_orano）Le Oràno 會籍使用方式：conditions 包含：活動期間：2025/01/01~2025/12/31。；世界卡卡友至 Le Oràno 活動網頁輸入卡號索取專屬邀請碼並註冊會員。。benefits 包含：Le Oràno 奢華旅遊私人俱樂部免費一年 Club 會籍（價值 USD 300）；全球超過 2,000 間頂級奢華酒店專屬禮遇；環宇商務中心尊榮禮遇通關專屬優惠價；高端旅遊行程預訂服務。",國泰世華世界卡,國泰世華世界卡,benefit_rule,,other,,國泰世華銀行,國泰世界卡.md
國泰世華世界卡_rule_worldcard_lounges_idx5,"國泰世華世界卡（方案ID：worldcard_lounges）機場貴賓室使用規則：conditions 包含：活動期間：2025/01/01~2025/12/31。；世界卡新增消費達以下任一門檻，即享免費使用機場貴賓室：；1）2 個月內機票或旅遊團費新增消費合計達 NT$10,000。；2）當月已產生帳單或前一月帳單新增消費達 NT$20,000。；3）前三期帳單合計新增消費達 NT$60,000。。lounges 包含：環亞機場貴賓室：桃園國際機場、松山國際機場；全球約 1600 間龍騰卡機場貴賓室。sharing_rule 包含：世界卡正卡、附卡與美元雙幣鈦金商務卡正卡共用年度次數。；財富管理鑽石VIP世界卡正卡與附卡可尊享攜伴共用年度次數之貴賓禮遇。。how_to_use 包含：持卡人本人出示世界卡及本人登機證即可使用國內外指定機場貴賓室。；海外機場貴賓室須先申請龍騰卡，方可使用全球龍騰卡機場貴賓室。。",國泰世華世界卡,國泰世華世界卡,benefit_rule,,other,,國泰世華銀行,國泰世界卡.md
國泰世華世界卡_rule_worldcard_funnow_idx6,"國泰世華世界卡（方案ID：worldcard_funnow）FunNow 優惠規則：conditions 包含：活動期間：即日起至 2025/12/31。；須由「國泰世華世界卡 X FunNow 活動網頁」進入預訂。；需使用國泰世華世界卡結帳並輸入對應限量優惠碼。。offers 包含：{'name': '日本指定餐廳 5 折', 'code': 'CATH1000', 'detail': '每月限量 20 名，單筆最高折抵 10,000 日圓，限使用 1 次。'}；{'name': '日本指定餐廳 85 折', 'code': 'CATH85', 'detail': '每月限量 100 名，單筆最高折抵 1,000 日圓，上限 3 次。'}；{'name': '饗食露營 75 折', 'code': 'CATH75', 'detail': '每月限量 100 名，單筆最高折抵 NT$1,000，限使用 1 次。'}。",國泰世華世界卡,國泰世華世界卡,benefit_rule,,miles,,國泰世華銀行,國泰世界卡.md
國泰亞洲萬里通聯名卡_rule_asiamiles_earn_miles_idx0,國泰亞洲萬里通聯名卡（方案ID：asiamiles_earn_miles）一般消費與指定通路哩程累積：此規則依不同卡別有分級差異。,國泰亞洲萬里通聯名卡,國泰亞洲萬里通聯名卡,benefit_rule,,miles,"{""general_spending"": ""2025/01/01-2025/12/31"", ""accelerator"": ""2025/01/01-2025/11/30（未公告調整則延用至新權益上線前一日）""}",國泰世華銀行,國泰亞洲萬里通聯名卡.md
國泰亞洲萬里通聯名卡_rule_asiamiles_priority_redeem_idx1,國泰亞洲萬里通聯名卡（方案ID：asiamiles_priority_redeem）優先兌換獎勵機票規則：conditions 包含：活動期間：2025/01/01-2025/12/31。；持卡人需透過其國泰航空的國泰會員帳戶登入。；聯名卡在國泰會員電腦系統中狀態須為有效。。benefits 包含：持卡人尊享較一般會員提前 2 天，於線上優先兌換精選折扣獎勵機票。；精選折扣獎勵機票優惠不定期推出，實際航線與票種依國泰航空公告。。,國泰亞洲萬里通聯名卡,國泰亞洲萬里通聯名卡,benefit_rule,,miles,,國泰世華銀行,國泰亞洲萬里通聯名卡.md
國泰亞洲萬里通聯名卡_rule_asiamiles_lounges_idx2,國泰亞洲萬里通聯名卡（方案ID：asiamiles_lounges）機場貴賓室使用規則：how_to_use 包含：以手機出示龍騰電子卡或龍騰出行 APP 之 QR code，即可使用。；適用全球超過 1600 間龍騰機場貴賓室。。此規則依不同卡別有分級差異。,國泰亞洲萬里通聯名卡,國泰亞洲萬里通聯名卡,benefit_rule,,miles,2025/01/01-2025/12/31,國泰世華銀行,國泰亞洲萬里通聯名卡.md
國泰亞洲萬里通聯名卡_rule_asiamiles_roaming_idx3,國泰亞洲萬里通聯名卡（方案ID：asiamiles_roaming）海外網路漫遊優惠規則：此規則依不同卡別有分級差異。,國泰亞洲萬里通聯名卡,國泰亞洲萬里通聯名卡,benefit_rule,,miles,2025/01/01-2025/12/31,國泰世華銀行,國泰亞洲萬里通聯名卡.md
國泰cube卡_scheme_玩數位,國泰CUBE卡權益方案「玩數位」：AI工具、數位串流平台、網購平台、國際電商等指定通路，依權益分級享 2%~3.3% 小樹點(信用卡)回饋；特約商店分期付款（含提前結清）僅回饋一般消費0.3%。（適用期間：2025/07/01-2025/12/31） 指定通路包含：AI工具：ChatGPT、Canva、Claude、Cursor、Duolingo、Gamma、Gemini、Notion、Perplexity、Speak；數位串流平台：Apple 媒體服務、Google Play、Disney+、Netflix、Spotify、KKBOX、YouTube Premium、Max；網購平台：蝦皮購物、momo購物網、PChome 24h購物(不含儲值及電子票券)、小樹購(不含電子票券)；國際電商：Coupang 酷澎(台灣)、淘寶/天貓。,國泰CUBE卡,國泰CUBE卡,benefit_scheme,玩數位,points,2025/07/01-2025/12/31,國泰世華銀行,cube_benefits.md
國泰cube卡_scheme_樂饗購,國泰CUBE卡權益方案「樂饗購」：國內百貨、外送平台、國內餐飲、藥妝等指定通路，依權益分級享 2%~3.3% 小樹點(信用卡)回饋；特約商店分期付款（含提前結清）僅回饋一般消費0.3%。（適用期間：2025/07/01-2025/12/31） 指定通路包含：國內指定百貨：遠東SOGO百貨、遠東Garden City、太平洋百貨、新光三越、SKM Park、BELLAVITA、微風廣場、遠東百貨、Big City遠東巨城購物中心、環球購物中心、CITYLINK、統一時代台北店(不含DREAM PLAZA)、台北101、ATT 4 FUN、明曜百貨、京站、美麗華、大葉高島屋、比漾廣場、大江國際購物中心、中友百貨、廣三SOGO、Tiger City、勤美誠品綠園道、大魯閣新時代、南紡購物中心、夢時代、漢神百貨、漢神巨蛋、MITSUI OUTLET PARK(林口、台中港、台南)、義大世界購物廣場、華泰名品城、麗寶OUTLET Mall、秀泰生活、台茂購物中心、新月廣場、三創生活、宏匯廣場、NOKE忠泰樂生活；國內外送平台：Uber Eats、foodpanda；國內餐飲：國內餐飲(依 MCC 5811/5812/5814/5462 判定)；國內藥妝：康是美、屈臣氏。,國泰CUBE卡,國泰CUBE卡,benefit_scheme,樂饗購,points,2025/07/01-2025/12/31,國泰世華銀行,cube_benefits.md
